Initial_Fraction Final_Fraction
0.00 0.00000
0.01 0.00000
0.02 0.00000
0.03 0.00000
0.04 0.00000
0.05 0.00000
0.06 0.00000
0.07 0.00000
0.08 0.00000
0.09 0.00000
0.10 0.00000
0.11 0.00000
0.12 0.00000
0.13 0.00000
0.14 0.00000
0.15 0.00000
0.16 0.00000
0.17 0.00000
0.18 0.00000
0.19 0.00000
0.20 0.00000
0.21 0.00000
0.22 0.00000
0.23 0.00000
0.24 0.00000
0.25 0.00000
0.26 0.00000
0.27 0.00000
0.28 0.00000
0.29 0.00000
0.30 0.00000
0.31 0.00000
0.32 0.00000
0.33 0.00000
0.34 0.00000
0.35 0.00000
0.36 0.00000
0.37 0.00000
0.38 0.00000
0.39 0.00000
0.40 0.00000
0.41 0.00000
0.42 0.00000
0.43 0.00000
0.44 0.00000
0.45 1.00000
0.46 0.00000
0.47 1.00000
0.48 1.00000
0.49 0.00000
0.50 1.00000
0.51 0.00000
0.52 0.00000
0.53 1.00000
0.54 1.00000
0.55 1.00000
0.56 1.00000
0.57 1.00000
0.58 1.00000
0.59 1.00000
0.60 1.00000
0.61 1.00000
0.62 1.00000
0.63 1.00000
0.64 1.00000
0.65 1.00000
0.66 1.00000
0.67 1.00000
0.68 1.00000
0.69 1.00000
0.70 1.00000
0.71 1.00000
0.72 1.00000
0.73 1.00000
0.74 1.00000
0.75 1.00000
0.76 1.00000
0.77 1.00000
0.78 1.00000
0.79 1.00000
0.80 1.00000
0.81 1.00000
0.82 1.00000
0.83 1.00000
0.84 1.00000
0.85 1.00000
0.86 1.00000
0.87 1.00000
0.88 1.00000
0.89 1.00000
0.90 1.00000
0.91 1.00000
0.92 1.00000
0.93 1.00000
0.94 1.00000
0.95 1.00000
0.96 1.00000
0.97 1.00000
0.98 1.00000
0.99 1.00000
