Initial_Fraction Final_Fraction
0.00 0.46591
0.01 0.49107
0.02 0.51890
0.03 0.52426
0.04 0.49401
0.05 0.54574
0.06 0.52501
0.07 0.45762
0.08 0.47886
0.09 0.47926
0.10 0.47786
0.11 0.49362
0.12 0.52922
0.13 0.54257
0.14 0.47976
0.15 0.50821
0.16 0.47827
0.17 0.53231
0.18 0.45988
0.19 0.53075
0.20 0.49096
0.21 0.50064
0.22 0.49155
0.23 0.48437
0.24 0.47185
0.25 0.46638
0.26 0.55210
0.27 0.49725
0.28 0.46871
0.29 0.50647
0.30 0.55219
0.31 0.49710
0.32 0.49001
0.33 0.49963
0.34 0.49218
0.35 0.48784
0.36 0.50106
0.37 0.53178
0.38 0.49864
0.39 0.49065
0.40 0.45659
0.41 0.49278
0.42 0.54361
0.43 0.47491
0.44 0.50486
0.45 0.50881
0.46 0.50986
0.47 0.49870
0.48 0.46838
0.49 0.52387
0.50 0.48127
0.51 0.46045
0.52 0.52568
0.53 0.52233
0.54 0.50029
0.55 0.51262
0.56 0.46695
0.57 0.54302
0.58 0.51261
0.59 0.46891
0.60 0.49106
0.61 0.47740
0.62 0.47517
0.63 0.50297
0.64 0.45343
0.65 0.45703
0.66 0.52321
0.67 0.49693
0.68 0.51608
0.69 0.50189
0.70 0.51791
0.71 0.49139
0.72 0.50809
0.73 0.48295
0.74 0.50582
0.75 0.52287
0.76 0.49147
0.77 0.52206
0.78 0.50458
0.79 0.49636
0.80 0.53330
0.81 0.50967
0.82 0.49032
0.83 0.51020
0.84 0.50311
0.85 0.53398
0.86 0.50645
0.87 0.48551
0.88 0.50299
0.89 0.46970
0.90 0.52238
0.91 0.55241
0.92 0.51252
0.93 0.46492
0.94 0.47682
0.95 0.49282
0.96 0.47660
0.97 0.49701
0.98 0.56242
0.99 0.46229
