Initial_Fraction Final_Fraction
0.00 0.49968
0.01 0.49954
0.02 0.50027
0.03 0.50040
0.04 0.50046
0.05 0.50023
0.06 0.50101
0.07 0.49993
0.08 0.49960
0.09 0.49945
0.10 0.50065
0.11 0.50037
0.12 0.49991
0.13 0.50079
0.14 0.50037
0.15 0.49984
0.16 0.50010
0.17 0.49900
0.18 0.50024
0.19 0.50071
0.20 0.50012
0.21 0.49973
0.22 0.49956
0.23 0.49973
0.24 0.49979
0.25 0.50064
0.26 0.50013
0.27 0.50027
0.28 0.50059
0.29 0.50010
0.30 0.50059
0.31 0.49981
0.32 0.49922
0.33 0.50045
0.34 0.49997
0.35 0.50000
0.36 0.50065
0.37 0.49981
0.38 0.49944
0.39 0.49938
0.40 0.49928
0.41 0.49906
0.42 0.49998
0.43 0.49937
0.44 0.49922
0.45 0.50028
0.46 0.50041
0.47 0.49989
0.48 0.49961
0.49 0.49918
0.50 0.49982
0.51 0.50028
0.52 0.50136
0.53 0.49901
0.54 0.50035
0.55 0.49977
0.56 0.50022
0.57 0.49997
0.58 0.50052
0.59 0.50023
0.60 0.49934
0.61 0.49971
0.62 0.50026
0.63 0.50023
0.64 0.49979
0.65 0.49969
0.66 0.49950
0.67 0.49976
0.68 0.50003
0.69 0.49963
0.70 0.50007
0.71 0.50043
0.72 0.50002
0.73 0.49985
0.74 0.49993
0.75 0.50014
0.76 0.49981
0.77 0.50121
0.78 0.49989
0.79 0.49976
0.80 0.50007
0.81 0.49958
0.82 0.50033
0.83 0.50045
0.84 0.50035
0.85 0.49879
0.86 0.50001
0.87 0.49915
0.88 0.49991
0.89 0.49955
0.90 0.50022
0.91 0.50046
0.92 0.49993
0.93 0.49986
0.94 0.50059
0.95 0.49948
0.96 0.49903
0.97 0.49935
0.98 0.50001
0.99 0.50053
